DATE,PROVINCE,REGION,NR_REPORTING,TOTAL_IN,TOTAL_IN_ICU,TOTAL_IN_RESP,TOTAL_IN_ECMO,NEW_IN,NEW_OUT
2020-03-15,Antwerpen,Flanders,14,50,9,4,0,8,8
2020-03-15,Brussels,Brussels,14,58,11,8,0,7,2
2020-03-15,Hainaut,Wallonia,15,56,13,11,1,26,1
2020-03-15,Limburg,Flanders,7,20,6,3,0,9,3
2020-03-15,Liège,Wallonia,12,22,2,1,0,4,1
2020-03-15,Luxembourg,Wallonia,3,4,0,0,0,3,0
2020-03-15,Namur,Wallonia,6,2,1,1,0,0,0
2020-03-15,OostVlaanderen,Flanders,14,16,5,1,0,5,1
2020-03-15,VlaamsBrabant,Flanders,6,14,2,0,0,2,0
2020-03-15,BrabantWallon,Wallonia,2,5,2,2,0,1,0
2020-03-15,WestVlaanderen,Flanders,11,19,3,1,0,6,2
2020-03-16,Antwerpen,Flanders,14,63,12,5,0,12,1
2020-03-16,Brussels,Brussels,15,81,14,11,0,11,4
2020-03-16,Hainaut,Wallonia,13,89,19,14,1,28,0
2020-03-16,Limburg,Flanders,7,25,9,4,0,7,0
2020-03-16,Liège,Wallonia,13,24,2,2,0,2,1
2020-03-16,Luxembourg,Wallonia,3,5,1,1,0,0,1
2020-03-16,Namur,Wallonia,6,4,1,1,0,1,1
2020-03-16,OostVlaanderen,Flanders,14,23,6,2,0,4,0
2020-03-16,VlaamsBrabant,Flanders,6,23,7,2,0,13,0
2020-03-16,BrabantWallon,Wallonia,2,8,2,2,0,3,0
2020-03-16,WestVlaanderen,Flanders,11,25,6,7,0,9,6
2020-03-17,Antwerpen,Flanders,14,89,14,10,1,17,5
2020-03-17,Brussels,Brussels,16,115,23,16,1,16,5
2020-03-17,Hainaut,Wallonia,14,108,25,18,1,27,3
2020-03-17,Limburg,Flanders,7,34,13,5,0,22,11
2020-03-17,Liège,Wallonia,12,29,5,3,0,5,2
2020-03-17,Luxembourg,Wallonia,3,8,1,0,0,2,0
2020-03-17,Namur,Wallonia,6,4,1,1,0,0,0
2020-03-17,OostVlaanderen,Flanders,14,32,8,4,0,10,2
2020-03-17,VlaamsBrabant,Flanders,6,33,3,1,0,9,0
2020-03-17,BrabantWallon,Wallonia,2,10,2,2,0,3,1
2020-03-17,WestVlaanderen,Flanders,11,35,5,6,0,11,2
2020-03-18,Antwerpen,Flanders,14,125,19,14,1,35,26
2020-03-18,Brussels,Brussels,16,124,29,18,2,18,5
2020-03-18,Hainaut,Wallonia,14,130,29,21,1,25,4
2020-03-18,Limburg,Flanders,7,57,18,7,0,22,2
2020-03-18,Liège,Wallonia,12,41,2,2,0,13,4
2020-03-18,Luxembourg,Wallonia,3,15,2,2,0,3,1
2020-03-18,Namur,Wallonia,6,6,1,1,0,4,0
2020-03-18,OostVlaanderen,Flanders,14,52,12,10,0,24,3
2020-03-18,VlaamsBrabant,Flanders,5,36,7,4,0,5,2
2020-03-18,BrabantWallon,Wallonia,2,14,3,3,0,5,0
2020-03-18,WestVlaanderen,Flanders,11,50,9,6,0,25,1
2020-03-19,Antwerpen,Flanders,14,155,22,16,1,35,6
2020-03-19,Brussels,Brussels,16,156,35,24,2,33,12
2020-03-19,Hainaut,Wallonia,14,167,36,29,1,33,11
2020-03-19,Limburg,Flanders,7,77,18,9,0,18,2
2020-03-19,Liège,Wallonia,13,59,5,2,0,21,4
2020-03-19,Luxembourg,Wallonia,3,23,6,3,0,10,2
2020-03-19,Namur,Wallonia,6,8,2,1,0,1,0
2020-03-19,OostVlaanderen,Flanders,14,59,16,12,0,22,6
2020-03-19,VlaamsBrabant,Flanders,6,50,11,7,0,10,1
2020-03-19,BrabantWallon,Wallonia,2,15,4,4,0,2,1
2020-03-19,WestVlaanderen,Flanders,11,75,10,8,0,22,4
2020-03-20,Antwerpen,Flanders,14,185,32,26,1,40,13
2020-03-20,Brussels,Brussels,16,193,46,32,2,29,4
2020-03-20,Hainaut,Wallonia,14,216,38,36,2,42,5
2020-03-20,Limburg,Flanders,7,114,27,13,0,31,7
2020-03-20,Liège,Wallonia,12,78,18,13,1,30,4
2020-03-20,Luxembourg,Wallonia,3,26,7,5,1,9,4
2020-03-20,Namur,Wallonia,6,18,1,1,0,11,4
2020-03-20,OostVlaanderen,Flanders,14,84,20,14,0,50,4
2020-03-20,VlaamsBrabant,Flanders,6,69,18,11,0,17,2
2020-03-20,BrabantWallon,Wallonia,2,19,4,4,0,4,0
2020-03-20,WestVlaanderen,Flanders,11,99,17,13,0,25,8
2020-03-21,Antwerpen,Flanders,14,219,38,30,1,46,16
2020-03-21,Brussels,Brussels,16,248,56,34,2,40,11
2020-03-21,Hainaut,Wallonia,14,224,50,42,1,31,10
2020-03-21,Limburg,Flanders,7,146,29,15,0,37,7
2020-03-21,Liège,Wallonia,13,124,27,16,1,38,7
2020-03-21,Luxembourg,Wallonia,3,36,9,8,0,11,2
2020-03-21,Namur,Wallonia,6,22,4,3,1,9,0
2020-03-21,OostVlaanderen,Flanders,14,126,29,19,0,52,8
2020-03-21,VlaamsBrabant,Flanders,6,84,20,12,0,17,6
2020-03-21,BrabantWallon,Wallonia,2,24,5,4,0,6,0
2020-03-21,WestVlaanderen,Flanders,11,131,23,17,0,33,7
2020-03-22,Antwerpen,Flanders,14,258,42,32,1,46,6
2020-03-22,Brussels,Brussels,16,283,58,42,2,41,13
2020-03-22,Hainaut,Wallonia,14,268,59,46,2,37,5
2020-03-22,Limburg,Flanders,7,166,30,24,0,29,10
2020-03-22,Liège,Wallonia,13,171,29,23,1,35,11
2020-03-22,Luxembourg,Wallonia,3,44,11,7,0,8,2
2020-03-22,Namur,Wallonia,6,27,7,3,2,4,0
2020-03-22,OostVlaanderen,Flanders,14,153,37,24,0,20,2
2020-03-22,VlaamsBrabant,Flanders,5,91,17,12,0,20,5
2020-03-22,BrabantWallon,Wallonia,2,29,5,5,0,6,0
2020-03-22,WestVlaanderen,Flanders,11,156,27,21,0,27,7
2020-03-23,Antwerpen,Flanders,14,308,56,42,1,46,7
2020-03-23,Brussels,Brussels,16,298,67,48,3,21,9
2020-03-23,Hainaut,Wallonia,14,308,65,48,1,44,8
2020-03-23,Limburg,Flanders,7,181,38,27,0,24,10
2020-03-23,Liège,Wallonia,13,194,31,26,1,23,11
2020-03-23,Luxembourg,Wallonia,3,47,18,10,0,4,0
2020-03-23,Namur,Wallonia,6,34,7,6,0,9,3
2020-03-23,OostVlaanderen,Flanders,14,166,41,32,0,22,4
2020-03-23,VlaamsBrabant,Flanders,6,136,25,16,0,32,5
2020-03-23,BrabantWallon,Wallonia,2,31,6,6,0,3,0
2020-03-23,WestVlaanderen,Flanders,11,180,31,25,0,29,3
2020-03-24,Antwerpen,Flanders,13,373,70,54,1,84,18
2020-03-24,Brussels,Brussels,15,319,77,49,4,52,17
2020-03-24,Hainaut,Wallonia,14,336,77,58,1,38,11
2020-03-24,Limburg,Flanders,7,235,44,32,0,61,16
2020-03-24,Liège,Wallonia,12,196,38,27,1,28,14
2020-03-24,Luxembourg,Wallonia,3,52,18,10,0,8,1
2020-03-24,Namur,Wallonia,6,42,10,8,0,11,0
2020-03-24,OostVlaanderen,Flanders,13,186,57,29,1,51,12
2020-03-24,VlaamsBrabant,Flanders,6,148,37,19,0,23,14
2020-03-24,BrabantWallon,Wallonia,2,37,9,9,0,8,3
2020-03-24,WestVlaanderen,Flanders,10,216,37,27,0,48,9
2020-03-25,Antwerpen,Flanders,14,495,98,72,1,99,10
2020-03-25,Brussels,Brussels,15,415,98,67,4,69,25
2020-03-25,Hainaut,Wallonia,14,377,83,62,2,46,19
2020-03-25,Limburg,Flanders,7,290,59,45,0,64,23
2020-03-25,Liège,Wallonia,12,252,58,40,1,53,14
2020-03-25,Luxembourg,Wallonia,3,63,20,11,0,10,2
2020-03-25,Namur,Wallonia,6,56,13,10,0,18,5
2020-03-25,OostVlaanderen,Flanders,14,263,76,47,1,53,10
2020-03-25,VlaamsBrabant,Flanders,6,172,42,23,1,31,5
2020-03-25,BrabantWallon,Wallonia,2,40,10,10,0,9,3
2020-03-25,WestVlaanderen,Flanders,11,298,55,35,0,83,12
2020-03-26,Antwerpen,Flanders,13,522,96,79,1,74,25
2020-03-26,Brussels,Brussels,16,482,114,83,3,76,30
2020-03-26,Hainaut,Wallonia,14,416,95,69,2,50,19
2020-03-26,Limburg,Flanders,7,323,71,54,0,54,19
2020-03-26,Liège,Wallonia,12,286,68,50,2,60,23
2020-03-26,Luxembourg,Wallonia,3,72,20,11,0,17,7
2020-03-26,Namur,Wallonia,6,70,18,12,1,13,3
2020-03-26,OostVlaanderen,Flanders,14,326,85,56,1,43,20
2020-03-26,VlaamsBrabant,Flanders,6,187,43,30,1,38,9
2020-03-26,BrabantWallon,Wallonia,2,41,14,12,0,7,5
2020-03-26,WestVlaanderen,Flanders,11,352,66,42,0,58,23
2020-03-27,Antwerpen,Flanders,14,627,122,100,2,76,39
2020-03-27,Brussels,Brussels,16,581,118,92,4,93,37
2020-03-27,Hainaut,Wallonia,14,457,102,74,2,55,22
2020-03-27,Limburg,Flanders,7,396,78,55,0,91,19
2020-03-27,Liège,Wallonia,12,347,88,68,2,75,25
2020-03-27,Luxembourg,Wallonia,3,84,18,11,0,16,1
2020-03-27,Namur,Wallonia,6,79,22,20,2,11,0
2020-03-27,OostVlaanderen,Flanders,14,393,99,64,2,53,28
2020-03-27,VlaamsBrabant,Flanders,6,217,51,36,2,23,11
2020-03-27,BrabantWallon,Wallonia,2,56,14,13,0,12,1
2020-03-27,WestVlaanderen,Flanders,11,413,77,46,0,70,22
2020-03-28,Antwerpen,Flanders,14,725,140,109,1,118,45
2020-03-28,Brussels,Brussels,16,630,136,108,5,90,52
2020-03-28,Hainaut,Wallonia,14,548,115,99,4,84,28
2020-03-28,Limburg,Flanders,7,418,89,58,0,48,18
2020-03-28,Liège,Wallonia,12,375,95,75,3,52,40
2020-03-28,Luxembourg,Wallonia,3,90,17,13,0,15,5
2020-03-28,Namur,Wallonia,6,85,20,19,2,16,4
2020-03-28,OostVlaanderen,Flanders,14,456,103,70,2,77,39
2020-03-28,VlaamsBrabant,Flanders,6,247,50,41,3,47,22
2020-03-28,BrabantWallon,Wallonia,2,56,13,11,0,8,6
2020-03-28,WestVlaanderen,Flanders,11,459,89,53,0,74,37
2020-03-29,Antwerpen,Flanders,14,770,151,125,1,64,30
2020-03-29,Brussels,Brussels,15,656,131,104,5,98,23
2020-03-29,Hainaut,Wallonia,14,610,126,103,5,69,18
2020-03-29,Limburg,Flanders,7,457,101,68,0,62,20
2020-03-29,Liège,Wallonia,12,425,102,87,2,50,13
2020-03-29,Luxembourg,Wallonia,3,101,17,14,0,11,2
2020-03-29,Namur,Wallonia,6,102,26,23,2,22,7
2020-03-29,OostVlaanderen,Flanders,14,514,113,78,1,72,21
2020-03-29,VlaamsBrabant,Flanders,6,269,66,42,3,29,15
2020-03-29,BrabantWallon,Wallonia,2,60,15,12,0,7,3
2020-03-29,WestVlaanderen,Flanders,11,516,94,53,0,61,17
2020-03-30,Antwerpen,Flanders,14,818,162,128,1,77,31
2020-03-30,Brussels,Brussels,15,790,164,132,6,53,31
2020-03-30,Hainaut,Wallonia,14,646,131,112,4,54,19
2020-03-30,Limburg,Flanders,7,481,110,79,0,41,15
2020-03-30,Liège,Wallonia,12,476,114,97,2,66,13
2020-03-30,Luxembourg,Wallonia,3,107,18,14,0,12,7
2020-03-30,Namur,Wallonia,6,112,30,25,2,13,2
2020-03-30,OostVlaanderen,Flanders,14,570,121,80,1,78,28
2020-03-30,VlaamsBrabant,Flanders,6,290,62,46,4,26,8
2020-03-30,BrabantWallon,Wallonia,2,69,18,15,0,9,1
2020-03-30,WestVlaanderen,Flanders,11,538,91,58,0,49,13
2020-03-31,Antwerpen,Flanders,14,816,179,146,1,88,98
2020-03-31,Brussels,Brussels,16,818,176,139,7,101,71
2020-03-31,Hainaut,Wallonia,14,637,132,114,5,54,55
2020-03-31,Limburg,Flanders,7,512,112,72,0,87,42
2020-03-31,Liège,Wallonia,12,500,119,103,3,58,34
2020-03-31,Luxembourg,Wallonia,3,103,20,15,0,6,10
2020-03-31,Namur,Wallonia,6,118,33,29,3,16,4
2020-03-31,OostVlaanderen,Flanders,14,591,130,87,1,67,50
2020-03-31,VlaamsBrabant,Flanders,6,289,66,49,4,22,30
2020-03-31,BrabantWallon,Wallonia,2,64,18,17,0,6,4
2020-03-31,WestVlaanderen,Flanders,11,541,103,63,0,48,38
2020-04-01,Antwerpen,Flanders,14,862,202,168,1,96,64
2020-04-01,Brussels,Brussels,16,843,183,144,10,85,45
2020-04-01,Hainaut,Wallonia,14,677,139,123,6,70,37
2020-04-01,Limburg,Flanders,7,503,109,82,0,46,34
2020-04-01,Liège,Wallonia,12,523,130,116,4,73,40
2020-04-01,Luxembourg,Wallonia,3,111,22,18,0,19,12
2020-04-01,Namur,Wallonia,6,130,34,30,3,20,4
2020-04-01,OostVlaanderen,Flanders,14,614,132,88,1,67,53
2020-04-01,VlaamsBrabant,Flanders,6,330,72,56,4,42,22
2020-04-01,BrabantWallon,Wallonia,2,61,17,15,0,5,10
2020-04-01,WestVlaanderen,Flanders,11,566,104,66,0,61,42
2020-04-02,Antwerpen,Flanders,14,875,211,166,1,85,64
2020-04-02,Brussels,Brussels,15,902,196,158,7,107,50
2020-04-02,Hainaut,Wallonia,14,678,150,125,7,47,50
2020-04-02,Limburg,Flanders,7,500,105,78,0,54,37
2020-04-02,Liège,Wallonia,12,570,135,120,3,88,49
2020-04-02,Luxembourg,Wallonia,3,116,22,15,0,14,6
2020-04-02,Namur,Wallonia,6,140,37,20,2,19,4
2020-04-02,OostVlaanderen,Flanders,14,616,142,96,3,56,50
2020-04-02,VlaamsBrabant,Flanders,6,343,79,55,5,31,23
2020-04-02,BrabantWallon,Wallonia,2,65,19,16,0,7,4
2020-04-02,WestVlaanderen,Flanders,11,578,109,67,0,60,40
2020-04-03,Antwerpen,Flanders,13,851,214,175,1,76,64
2020-04-03,Brussels,Brussels,16,914,196,164,11,62,80
2020-04-03,Hainaut,Wallonia,15,705,155,128,7,47,25
2020-04-03,Limburg,Flanders,7,516,105,73,0,67,36
2020-04-03,Liège,Wallonia,12,573,145,129,2,37,32
2020-04-03,Luxembourg,Wallonia,3,121,25,20,0,15,10
2020-04-03,Namur,Wallonia,6,144,39,31,2,8,7
2020-04-03,OostVlaanderen,Flanders,14,642,150,111,3,52,49
2020-04-03,VlaamsBrabant,Flanders,6,344,84,59,5,26,25
2020-04-03,BrabantWallon,Wallonia,2,64,17,15,0,6,4
2020-04-03,WestVlaanderen,Flanders,11,639,115,80,0,108,43
2020-04-04,Antwerpen,Flanders,14,916,230,191,2,68,81
2020-04-04,Brussels,Brussels,16,888,197,164,12,75,99
2020-04-04,Hainaut,Wallonia,14,706,154,125,7,58,51
2020-04-04,Limburg,Flanders,7,506,109,71,0,43,60
2020-04-04,Liège,Wallonia,12,585,147,135,3,63,41
2020-04-04,Luxembourg,Wallonia,3,113,25,20,0,11,14
2020-04-04,Namur,Wallonia,6,144,39,33,0,12,12
2020-04-04,OostVlaanderen,Flanders,14,644,153,115,2,73,67
2020-04-04,VlaamsBrabant,Flanders,6,307,69,56,5,23,27
2020-04-04,BrabantWallon,Wallonia,2,57,17,15,0,7,9
2020-04-04,WestVlaanderen,Flanders,11,665,121,77,0,66,43
2020-04-05,Antwerpen,Flanders,14,939,222,185,2,59,39
2020-04-05,Brussels,Brussels,15,899,203,164,14,66,44
2020-04-05,Hainaut,Wallonia,14,728,149,123,9,41,16
2020-04-05,Limburg,Flanders,7,485,103,70,0,34,37
2020-04-05,Liège,Wallonia,12,603,152,144,2,32,21
2020-04-05,Luxembourg,Wallonia,3,119,28,24,0,3,1
2020-04-05,Namur,Wallonia,6,151,41,34,2,14,4
2020-04-05,OostVlaanderen,Flanders,14,659,151,117,2,41,28
2020-04-05,VlaamsBrabant,Flanders,6,313,71,52,5,26,16
2020-04-05,BrabantWallon,Wallonia,2,63,19,17,0,6,1
2020-04-05,WestVlaanderen,Flanders,11,661,128,83,1,36,28
2020-04-06,Antwerpen,Flanders,14,965,223,188,2,46,36
2020-04-06,Brussels,Brussels,15,921,203,165,15,47,31
2020-04-06,Hainaut,Wallonia,14,726,145,121,8,32,16
2020-04-06,Limburg,Flanders,7,502,97,64,0,32,10
2020-04-06,Liège,Wallonia,12,619,151,143,3,36,24
2020-04-06,Luxembourg,Wallonia,3,125,28,21,0,11,3
2020-04-06,Namur,Wallonia,6,148,41,32,2,6,2
2020-04-06,OostVlaanderen,Flanders,14,691,154,116,2,50,16
2020-04-06,VlaamsBrabant,Flanders,6,320,72,58,5,17,7
2020-04-06,BrabantWallon,Wallonia,2,66,19,14,0,4,1
2020-04-06,WestVlaanderen,Flanders,11,676,127,77,1,33,25
2020-04-07,Antwerpen,Flanders,14,960,230,183,2,86,79
2020-04-07,Brussels,Brussels,16,938,202,172,18,79,78
2020-04-07,Hainaut,Wallonia,15,707,147,120,9,48,78
2020-04-07,Limburg,Flanders,7,491,98,71,3,45,48
2020-04-07,Liège,Wallonia,12,612,153,142,3,45,49
2020-04-07,Luxembourg,Wallonia,3,125,27,19,0,12,12
2020-04-07,Namur,Wallonia,6,141,41,34,2,15,16
2020-04-07,OostVlaanderen,Flanders,14,691,157,122,2,61,75
2020-04-07,VlaamsBrabant,Flanders,6,311,73,56,5,31,33
2020-04-07,BrabantWallon,Wallonia,2,66,16,13,0,5,3
2020-04-07,WestVlaanderen,Flanders,11,673,132,76,1,63,53
2020-04-08,Antwerpen,Flanders,14,940,229,181,2,52,75
2020-04-08,Brussels,Brussels,15,911,193,161,18,68,79
2020-04-08,Hainaut,Wallonia,14,682,150,125,9,52,53
2020-04-08,Limburg,Flanders,7,480,96,71,3,59,61
2020-04-08,Liège,Wallonia,12,622,161,144,2,53,45
2020-04-08,Luxembourg,Wallonia,3,116,27,17,0,12,17
2020-04-08,Namur,Wallonia,6,173,48,35,3,39,6
2020-04-08,OostVlaanderen,Flanders,14,670,161,116,2,48,62
2020-04-08,VlaamsBrabant,Flanders,6,303,74,57,6,22,23
2020-04-08,BrabantWallon,Wallonia,2,67,15,11,0,9,7
2020-04-08,WestVlaanderen,Flanders,11,652,131,76,1,45,55
2020-04-09,Antwerpen,Flanders,14,917,219,184,2,60,69
2020-04-09,Brussels,Brussels,15,907,198,156,17,80,72
2020-04-09,Hainaut,Wallonia,14,712,154,125,9,67,44
2020-04-09,Limburg,Flanders,7,475,93,74,3,42,36
2020-04-09,Liège,Wallonia,12,639,161,148,2,49,46
2020-04-09,Luxembourg,Wallonia,3,111,27,19,0,13,7
2020-04-09,Namur,Wallonia,6,182,50,35,3,26,13
2020-04-09,OostVlaanderen,Flanders,14,677,163,116,2,49,45
2020-04-09,VlaamsBrabant,Flanders,6,303,78,53,6,22,20
2020-04-09,BrabantWallon,Wallonia,2,69,13,11,0,9,4
2020-04-09,WestVlaanderen,Flanders,11,644,122,72,0,45,48
2020-04-10,Antwerpen,Flanders,14,907,216,181,3,44,78
2020-04-10,Brussels,Brussels,16,902,197,158,18,59,82
2020-04-10,Hainaut,Wallonia,14,741,146,119,11,57,29
2020-04-10,Limburg,Flanders,7,481,101,72,3,45,42
2020-04-10,Liège,Wallonia,12,629,156,141,2,46,40
2020-04-10,Luxembourg,Wallonia,3,118,24,19,0,9,4
2020-04-10,Namur,Wallonia,6,187,51,32,4,17,12
2020-04-10,OostVlaanderen,Flanders,14,691,167,127,2,61,49
2020-04-10,VlaamsBrabant,Flanders,6,298,73,51,5,29,27
2020-04-10,BrabantWallon,Wallonia,2,68,15,10,0,5,5
2020-04-10,WestVlaanderen,Flanders,11,641,116,71,0,49,50
2020-04-11,Antwerpen,Flanders,14,895,208,164,4,60,83
2020-04-11,Brussels,Brussels,14,798,179,142,14,43,61
2020-04-11,Hainaut,Wallonia,14,764,145,116,11,64,67
2020-04-11,Limburg,Flanders,7,450,94,74,2,47,64
2020-04-11,Liège,Wallonia,12,593,155,139,2,39,50
2020-04-11,Luxembourg,Wallonia,3,112,21,18,1,8,9
2020-04-11,Namur,Wallonia,6,188,50,35,4,15,7
2020-04-11,OostVlaanderen,Flanders,14,652,172,120,3,53,68
2020-04-11,VlaamsBrabant,Flanders,6,285,74,49,4,17,22
2020-04-11,BrabantWallon,Wallonia,2,67,15,11,0,5,5
2020-04-11,WestVlaanderen,Flanders,11,633,119,69,0,42,46
2020-04-12,Antwerpen,Flanders,14,877,212,170,4,34,56
2020-04-12,Brussels,Brussels,15,819,179,140,14,49,30
2020-04-12,Hainaut,Wallonia,14,748,140,110,10,40,27
2020-04-12,Limburg,Flanders,7,451,96,71,2,24,21
2020-04-12,Liège,Wallonia,12,587,155,141,2,18,23
2020-04-12,Luxembourg,Wallonia,3,107,20,17,1,3,6
2020-04-12,Namur,Wallonia,6,184,50,34,4,8,4
2020-04-12,OostVlaanderen,Flanders,14,673,179,124,3,26,38
2020-04-12,VlaamsBrabant,Flanders,6,293,75,49,4,20,9
2020-04-12,BrabantWallon,Wallonia,2,71,15,11,0,8,2
2020-04-12,WestVlaanderen,Flanders,11,631,113,73,0,40,23
2020-04-13,Antwerpen,Flanders,14,856,212,165,4,33,51
2020-04-13,Brussels,Brussels,15,908,189,138,15,37,35
2020-04-13,Hainaut,Wallonia,14,758,137,108,9,25,10
2020-04-13,Limburg,Flanders,7,450,95,71,2,23,12
2020-04-13,Liège,Wallonia,12,582,153,129,2,20,14
2020-04-13,Luxembourg,Wallonia,3,109,20,17,1,6,2
2020-04-13,Namur,Wallonia,6,190,48,35,4,10,1
2020-04-13,OostVlaanderen,Flanders,14,680,164,119,4,31,16
2020-04-13,VlaamsBrabant,Flanders,6,295,70,48,4,14,3
2020-04-13,BrabantWallon,Wallonia,2,70,15,11,0,2,3
2020-04-13,WestVlaanderen,Flanders,11,656,123,74,0,41,14
2020-04-14,Antwerpen,Flanders,14,843,207,168,4,41,50
2020-04-14,Brussels,Brussels,15,897,187,143,16,31,41
2020-04-14,Hainaut,Wallonia,14,763,134,101,8,34,17
2020-04-14,Limburg,Flanders,7,463,98,71,2,30,13
2020-04-14,Liège,Wallonia,12,575,150,123,2,8,36
2020-04-14,Luxembourg,Wallonia,3,112,22,18,1,10,3
2020-04-14,Namur,Wallonia,6,191,48,32,4,9,5
2020-04-14,OostVlaanderen,Flanders,14,666,152,109,4,39,28
2020-04-14,VlaamsBrabant,Flanders,6,298,69,43,4,11,11
2020-04-14,BrabantWallon,Wallonia,2,70,14,11,0,2,2
2020-04-14,WestVlaanderen,Flanders,11,654,123,70,0,35,33
2020-04-15,Antwerpen,Flanders,14,803,205,167,4,33,78
2020-04-15,Brussels,Brussels,16,857,174,139,14,45,71
2020-04-15,Hainaut,Wallonia,14,730,137,104,8,29,58
2020-04-15,Limburg,Flanders,7,439,93,69,2,32,46
2020-04-15,Liège,Wallonia,12,552,147,117,2,31,54
2020-04-15,Luxembourg,Wallonia,3,101,21,18,1,7,15
2020-04-15,Namur,Wallonia,6,189,49,33,5,7,12
2020-04-15,OostVlaanderen,Flanders,14,650,155,107,4,43,50
2020-04-15,VlaamsBrabant,Flanders,6,287,66,40,3,18,18
2020-04-15,BrabantWallon,Wallonia,2,67,12,10,0,2,4
2020-04-15,WestVlaanderen,Flanders,11,656,123,64,0,63,49
2020-04-16,Antwerpen,Flanders,14,817,200,156,4,48,58
2020-04-16,Brussels,Brussels,15,822,172,138,17,46,65
2020-04-16,Hainaut,Wallonia,14,714,135,106,8,63,54
2020-04-16,Limburg,Flanders,7,411,91,68,1,35,46
2020-04-16,Liège,Wallonia,12,519,142,108,2,19,39
2020-04-16,Luxembourg,Wallonia,3,99,20,18,1,7,6
2020-04-16,Namur,Wallonia,6,193,46,28,3,17,7
